"","id","draft_date","community","housing_type","gender","tenure","years_in_community","adult_count","child_count","hh_size","rooms_in_hh","density","primary_dw_source","dw_reason_convenience","dw_reason_affordable","dw_reason_available","dw_reason_cold","dw_reason_clean","dw_reason_taste","dw_reason_habit","dw_reason_trustworthy","dw_reason_health","dw_reason_other","primary_water_source","secondary_water_source","payment_mode_primary","payment_mode_secondary","daily_hh_water_cost","daily_hh_water_cost_phhm","storage","binary_struggle","time_of_last_struggle","weekdays_struggle","coping_sachet_to_cook","coping_skipped_cooking","coping_sachet_to_bathe","coping_skipped_bathing","coping_closed_business","coping_skipped_laundry"
"75",83,2023-11-16 13:43:41,"abuja","wood_unit","female","rented",11,3,0,3,1,3,"packaged",0,0,0,0,1,1,0,1,0,0,"commercial_tap",NA,"pay_to_fetch","na",29,9.66666666666667,0,"Yes","last_year",2,1,1,1,1,0,0
"76",84,2023-11-16 13:52:18,"abuja","wood_shack","female","owned",10,1,4,5,1,5,"packaged",1,0,1,0,0,0,0,1,0,1,"commercial_tap",NA,"pay_to_fetch","na",10,2,0,"Yes","last_7_days",2,1,1,0,0,0,1
"77",85,2023-11-16 14:03:33,"abuja","wood_unit","female","owned",30,3,0,3,2,1.5,"packaged",0,1,0,0,1,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",14.1428571428571,4.71428571428571,0,"Yes","last_3_days",2,1,0,1,0,0,0
"78",86,2023-11-16 14:14:41,"abuja","wood_unit","female","rented",30,2,0,2,1,2,"packaged",1,1,1,0,0,0,0,1,0,1,"commercial_tap",NA,"pay_to_fetch","na",8.57142857142857,4.28571428571429,0,"Yes","over_year_ago",0,1,0,0,1,0,0
"79",25,2023-11-08 13:32:59,"kg","compound_house","female","no_payment",30,5,4,9,3,3,"packaged",1,0,0,0,1,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",4,0.444444444444444,300,"Yes","last_7_days",0,0,0,1,1,0,1
"80",28,2023-11-08 14:28:32,"kg","compound_house","female","no_payment",3,1,0,1,1,1,"packaged",0,0,1,0,0,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",4,4,120,"No","have_not_struggled",0,0,0,0,0,0,1
"81",32,2023-11-10 10:39:43,"kg","compound_house","female","no_payment",30,5,1,6,2,3,"packaged",0,0,0,0,0,0,1,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",3,0.5,350,"Yes","over_year_ago",0,0,1,0,0,0,0
"82",33,2023-11-10 11:03:46,"kg","compound_house","female","no_payment",55,1,0,1,1,1,"packaged",0,0,0,0,1,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",0.25,0.25,200,"Yes","last_7_days",2,1,0,1,0,0,1
"83",36,2023-11-10 12:10:46,"kg","compound_house","female","rented",30,3,2,5,1,5,"packaged",0,0,0,0,0,1,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",1.14285714285714,0.228571428571429,500,"Yes","last_year",0,1,0,1,0,0,0
"84",40,2023-11-10 13:21:00,"kg","compound_house","female","no_payment",29,5,1,6,2,3,"packaged",1,0,0,0,0,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",3,0.5,760,"Yes","last_year",0,1,1,0,1,0,0
"85",42,2023-11-10 14:03:03,"kg","compound_house","female","no_payment",70,3,4,7,3,2.33333333333333,"packaged",0,0,0,0,1,0,0,0,0,0,"commercial_tap","packaged","pay_to_fetch","pay_to_fetch",4.5,0.642857142857143,375,"Yes","over_year_ago",0,1,0,0,0,0,0
"86",44,2023-11-10 14:42:10,"kg","wood_shack","female","no_payment",20,2,2,4,1,4,"packaged",0,1,1,0,0,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",12,3,200,"Yes","over_year_ago",0,0,0,0,0,0,0
"87",87,2023-11-20 09:53:22,"kg","compound_house","female","no_payment",20,1,1,2,1,2,"packaged",0,0,1,0,0,1,0,0,0,0,"piped_to_compound",NA,"shares_bill","na",NA,NA,1000,"No","have_not_struggled",0,0,1,0,1,0,1
"88",88,2023-11-20 10:11:39,"kg","compound_house","female","rented",5,2,0,2,1,2,"packaged",0,0,0,0,1,0,0,0,0,0,"piped_to_compound",NA,"pay_to_fetch","na",5,2.5,125,"Yes","over_year_ago",0,1,0,0,0,0,0
"89",89,2023-11-20 10:29:38,"kg","compound_house","female","rented",15,4,1,5,2,2.5,"packaged",0,0,0,0,0,0,1,0,0,NA,"piped_to_compound","commercial_tap","shares_bill","pay_to_fetch",4,0.8,500,"Yes","last_3_days",0,0,0,0,0,0,0
"90",90,2023-11-20 11:03:51,"kg","compound_house","female","no_payment",30,3,2,5,1,5,"packaged",0,0,0,1,1,0,0,0,0,0,"commercial_tap","borehole","pay_to_fetch","pay_to_fetch",5.18571428571429,1.03714285714286,500,"Yes","over_year_ago",0,0,1,0,1,0,1
"91",91,2023-11-20 11:25:49,"kg","compound_house","female","rented",30,1,3,4,1,4,"packaged",1,0,1,0,0,0,0,0,0,0,"commercial_tap","packaged","pay_to_fetch","pay_to_fetch",4.5,1.125,250,"Yes","last_3_days",2,0,0,1,0,0,0
