"","id","community","housing_type","gender","tenure","hhhead_relation","business_owned","business_type","primary_dw_source","reasons_primary_dw","secondary_dw_source","reasons_secondary_dw","preferred_brand","primary_water_source","secondary_water_source","payment_mode","daily_hh_water_cost","daily_hh_water_cost_phhm","coping_mechanisms","time_of_last_coping","dbl_variable","value"
"83",10,"abuja","other","female","rented","self","yes","shop","packaged","convenience","na","na","high_end","commercial_tap","na","shares_bill","na","na","sachet_to_cook;skipped_bathing;skipped_laundry","last_year","adult_count",1
"84",10,"abuja","other","female","rented","self","yes","shop","packaged","convenience","na","na","high_end","commercial_tap","na","shares_bill","na","na","sachet_to_cook;skipped_bathing;skipped_laundry","last_year","child_count",1
"85",10,"abuja","other","female","rented","self","yes","shop","packaged","convenience","na","na","high_end","commercial_tap","na","shares_bill","na","na","sachet_to_cook;skipped_bathing;skipped_laundry","last_year","hh_size",2
"86",10,"abuja","other","female","rented","self","yes","shop","packaged","convenience","na","na","high_end","commercial_tap","na","shares_bill","na","na","sachet_to_cook;skipped_bathing;skipped_laundry","last_year","rooms_in_hh",1
"87",10,"abuja","other","female","rented","self","yes","shop","packaged","convenience","na","na","high_end","commercial_tap","na","shares_bill","na","na","sachet_to_cook;skipped_bathing;skipped_laundry","last_year","density",2
"88",10,"abuja","other","female","rented","self","yes","shop","packaged","convenience","na","na","high_end","commercial_tap","na","shares_bill","na","na","sachet_to_cook;skipped_bathing;skipped_laundry","last_year","daily_dw_cost_pp",1.66666666666667
"89",10,"abuja","other","female","rented","self","yes","shop","packaged","convenience","na","na","high_end","commercial_tap","na","shares_bill","na","na","sachet_to_cook;skipped_bathing;skipped_laundry","last_year","storage",0
"90",10,"abuja","other","female","rented","self","yes","shop","packaged","convenience","na","na","high_end","commercial_tap","na","shares_bill","na","na","sachet_to_cook;skipped_bathing;skipped_laundry","last_year","days_struggle",0
"91",11,"abuja","block_unit","female","rented","self","no","na","packaged","convenience","commercial_tap","money","mid_range","commercial_tap","na","pay_to_fetch","2","2","skipped_bathing","last_7_days","years_in_community",10
"92",11,"abuja","block_unit","female","rented","self","no","na","packaged","convenience","commercial_tap","money","mid_range","commercial_tap","na","pay_to_fetch","2","2","skipped_bathing","last_7_days","adult_count",1
"93",11,"abuja","block_unit","female","rented","self","no","na","packaged","convenience","commercial_tap","money","mid_range","commercial_tap","na","pay_to_fetch","2","2","skipped_bathing","last_7_days","child_count",4
